roomID,title,artist
15,"Self Portrait at the Age of 34","Rembrandt"
15,"Portrait of Susanna Lunden ('Le Chapeau de Paille')","Peter Paul Rubens"
15,"Portrait of Gerolamo Barbarigo","Titian"
15,"Self Portrait in a Straw Hat","Elisabeth Louise Vigée Le Brun"
151,"Portrait of a Man","Gonzales Coques"
151,"Portrait of a Woman as Saint Agnes","Gonzales Coques"
151,"A Poulterer's Shop","Gerrit Dou"
151,"Portrait of a Man","Gerrit Dou"
151,"Portrait of a Young Woman","Gerrit Dou"
151,"A Woman in a Red Jacket feeding a Parrot","Frans van Mieris the Elder"
151,"Portrait of the Artist's Wife, Cunera van der Cock","Frans van Mieris the Elder"
151,"Self Portrait of the Artist, with a Cittern","Frans van Mieris the Elder"
151,"A Woman and a Fish-pedlar in a Kitchen","Willem van Mieris"
151,"Two Boys blowing Bubbles","Caspar Netscher"
151,"A Man Offering Gold and Coins to a Girl","Godfried Schalcken"
151,"Allegory of Virtue and Riches","Godfried Schalcken"
151,"An Old Woman scouring a Pot","Godfried Schalcken"
151,"A Boy with a Mousetrap","Adriaen van der Werff"
16,"The Market Place and the Grote Kerk at Haarlem","Gerrit Berckheyde"
16,"A Farm among Trees","Jan van der Heyden"
16,"The Huis ten Bosch at The Hague","Jan van der Heyden"
16,"View of the Westerkerk, Amsterdam","Jan van der Heyden"
16,"A Woman and her Maid in a Courtyard","Pieter de Hooch"
16,"The Courtyard of a House in Delft","Pieter de Hooch"
16,"A Man and a Woman seated by a Virginal","Gabriel Metsu"
16,"A Panoramic View of Amsterdam looking towards the IJ","Jacob van Ruisdael"
16,"The Interior of the Buurkerk at Utrecht","Pieter Saenredam"
16,"The Interior of the Grote Kerk at Haarlem","Pieter Saenredam"
16,"A Young Woman playing a Harpsichord to a Young Man","Jan Steen"
16,"Skittle Players outside an Inn","Jan Steen"
16,"Golfers on the Ice near Haarlem","Adriaen van de Velde"
16,"A Young Woman seated at a Virginal","Johannes Vermeer"
16,"A Young Woman standing at a Virginal","Johannes Vermeer"
16,"A Landscape with a River by a Wood","Cornelis Vroom"
16,"Adriana van Heusden and Daughter at the Fishmarket","Emanuel de Witte"
16,"The Interior of the Oude Kerk, Amsterdam","Emanuel de Witte"
17,"A Woman playing a Lute to Two Men","Gerard ter Borch"
17,"An Officer dictating a Letter","Gerard ter Borch"
17,"A Musical Party in a Courtyard","Pieter de Hooch"
17,"An Interior, with a Woman refusing a Glass of Wine","Ludolf de Jongh"
17,"Portrait of Constantijn Huygens and his Clerk","Thomas de Keyser"
17,"The Idle Servant","Nicolaes Maes"
17,"Two Men with a Sleeping Woman","Gabriel Metsu"
17,"A Lady teaching a Child to Read","Caspar Netscher"
17,"The Effects of Intemperance","Jan Steen"
171,"A View of Delft","Carel Fabritius"
171,"Young Man in a Fur Cap","Carel Fabritius"
171,"A Woman Drinking with Two Men","Pieter de Hooch"
171,"A Peepshow with Views of the Interior of a Dutch House","Samuel van Hoogstraten"
171,"Interior of a Church","Gerard Houckgeest"
171,"A View of Delft after the Explosion of 1654","Egbert van der Poel"
18,"Drunken Silenus supported by Satyrs","Anthony van Dyck"
18,"The Holy Family and Saint John the Baptist","Jacob Jordaens"
18,"The Virgin and Child with Saint John and his Parents","Jacob Jordaens"
18,"A Lion Hunt","Peter Paul Rubens"
18,"Aurora abducting Cephalus","Peter Paul Rubens"
18,"Kings Clothar and Dagobert dispute with a Herald","Peter Paul Rubens"
18,"Portrait of Ludovicus Nonnius","Peter Paul Rubens"
18,"Portrait of Thomas Howard, 2nd Earl of Arundel","Peter Paul Rubens"
18,"Saint Bavo is received by Saints Amand and Floribert","Peter Paul Rubens"
18,"Samson and Delilah","Peter Paul Rubens"
18,"The Apotheosis of the Duke of Buckingham","Peter Paul Rubens"
18,"The Birth of Venus","Peter Paul Rubens"
18,"The Brazen Serpent","Peter Paul Rubens"
18,"The Judgement of Paris","Peter Paul Rubens"
18,"The Judgement of Paris","Peter Paul Rubens"
18,"The Miraculous Draught of Fishes","Peter Paul Rubens"
18,"The Rape of the Sabine Women","Peter Paul Rubens"
